name,slug, years,date_of_information,ranking,region
"Monaco","monaco","56.2","2023",1,"Europe"
"Italy","italy","48.1","2023",4,"Europe"
"Andorra","andorra","48.1","2023",5,"Europe"
"Germany","germany","46.7","2023",8,"Europe"
"Spain","spain","46.3","2023",9,"Europe"
"Greece","greece","46.2","2023",10,"Europe"
"Portugal","portugal","46","2023",11,"Europe"
"Slovenia","slovenia","45.9","2023",12,"Europe"
"San Marino","san-marino","45.9","2023",13,"Europe"
"Ukraine","ukraine","45.3","2023",15,"Europe"
"Latvia","latvia","45.2","2023",16,"Europe"
"Romania","romania","45.1","2023",17,"Europe"
"Lithuania","lithuania","45","2023",19,"Europe"
"Austria","austria","44.8","2023",20,"Europe"
"Isle of Man","isle-of-man","44.8","2023",21,"Europe"
"Croatia","croatia","44.8","2023",22,"Europe"
"Guernsey","guernsey","44.8","2023",23,"Europe"
"Estonia","estonia","44.7","2023",24,"Europe"
"Bulgaria","bulgaria","44.7","2023",25,"Europe"
"Hungary","hungary","44.5","2023",27,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","44.4","2023",28,"Europe"
"Liechtenstein","liechtenstein","44.1","2023",29,"Europe"
"Switzerland","switzerland","44","2023",31,"Europe"
"Czechia","czechia","43.9","2023",32,"Europe"
"Serbia","serbia","43.7","2023",34,"Europe"
"Malta","malta","43.2","2023",35,"Europe"
"Finland","finland","43.2","2023",36,"Europe"
"Slovakia","slovakia","42.5","2023",38,"Europe"
"Poland","poland","42.4","2023",40,"Europe"
"France","france","42.4","2023",41,"Europe"
"Netherlands","netherlands","42.2","2023",43,"Europe"
"Denmark","denmark","42.2","2023",44,"Europe"
"Belgium","belgium","41.9","2023",46,"Europe"
"Belarus","belarus","41.7","2023",47,"Europe"
"Sweden","sweden","41","2023",51,"Europe"
"Montenegro","montenegro","40.7","2023",54,"Europe"
"Norway","norway","40.6","2023",57,"Europe"
"United Kingdom","united-kingdom","40.6","2023",58,"Europe"
"North Macedonia","north-macedonia","40.1","2023",59,"Europe"
"Ireland","ireland","39.8","2023",60,"Europe"
"Luxembourg","luxembourg","39.8","2023",61,"Europe"
"Moldova","moldova","39.4","2023",63,"Europe"
"Cyprus","cyprus","39.1","2023",65,"Europe"
"Jersey","jersey","38","2023",73,"Europe"
"Iceland","iceland","37.8","2023",77,"Europe"
"Faroe Islands","faroe-islands","36.8","2023",82,"Europe"
"Gibraltar","gibraltar","36.6","2023",83,"Europe"
"Albania","albania","35.8","2023",90,"Europe"
"Kosovo","kosovo","31.7","2023",116,"Europe"